ID_REF,GSM77298,GSM77299,GSM77300,GSM77301,GSM77302,GSM77303,GSM77304,GSM77305,GSM77306,GSM77307,GSM77308,GSM77309,GSM77310,GSM77311,GSM77312,GSM77313,GSM77314,GSM77315,GSM77316,GSM77317,GSM77318,GSM77319,GSM77320,GSM77321,GSM77322,GSM77323,GSM77324,GSM77325,GSM77326,GSM77327,GSM77328,GSM77329,GSM77330,GSM77331,GSM77332,GSM77333,mean,std
YER013W,1.417707205,0.869364083,1.192962527,1.059617519,1.217732906,1.189542413,1.216684699,1.27377224,2.171912909,1.479820728,1.421232939,1.162436485,0.972445488,0.787500083,0.99999994,1.035388112,1.371237516,1.419387817,1.21334672,1.309935212,1.165714264,0.992790937,1.184549332,1.161866903,1.333333373,1.262721896,1.349547625,1.332657218,1.272727251,1.140756369,1.239297509,1.422744036,1.312088013,1.056102395,1.029322505,1.136929393,1.227088238,0.226202856
YER014W,2.206583261,2.639306307,2.400681019,2.426321745,2.502805948,2.631808281,2.86457181,2.801463127,0.871670723,1.723094225,1.925799131,1.251776695,2.032147169,2.56704545,2.577877998,3.015981913,2.916388035,2.253061295,2.333670378,2.768898487,0.811428547,1.560247183,1.469957113,1.467725992,2.846153975,2.723077059,2.774887085,2.183570147,2.337809801,2.646008492,2.491767406,2.337453604,1.038461566,1.405511856,1.236602545,1.542531013,2.155115177,0.627606626
YER015W,9.892168045,15.79190731,7.377979755,6.617547989,6.741863728,5.958605766,6.357529163,6.145245552,0.628329337,0.371076226,0.561643839,0.858883202,9.804822922,13.31136417,8.734763145,8.277397156,6.405797005,5.321428299,5.372092724,2.815334797,0.288000017,0.38825953,0.766094446,1.408143044,14.51037884,14.89230824,7.933258057,6.466531277,5.15805769,4.908613682,5.461031914,1.765142083,0.371428579,0.427165359,0.925176919,1.629667997,5.406806606,4.426617273
YER016W,1.211123705,0.877456665,0.751418829,0.681664765,0.750841796,0.576252759,0.705308735,0.625914335,0.83292985,1.589686155,1.555936098,1.169543147,0.921928883,0.980681896,0.968397319,0.8595891,0.70457083,0.661224484,0.686552048,0.607991338,0.714285731,1.158599377,1.111588001,1.052631617,1.168498158,1.17278111,1.091629028,0.711967528,0.752066135,0.757352948,0.85181123,0.751545072,0.814285696,0.979330719,1.076845288,0.939833939,0.911779564,0.242993866
YER017C,9.017026901,9.22774601,6.031782627,6.014623642,7.010100842,5.826797485,6.112676144,4.741901875,4.561743259,7.354260445,8.079908371,6.053806782,10.13088512,7.944318295,6.889390469,6.416666508,6.674470425,5.210204124,5.112234592,3.03563714,7.323428154,6.696189404,8.534335136,6.909632683,9.573870659,7.130177498,7.012444019,5.218052864,5.16322279,5.080882549,6.488474369,3.479604244,7.934066296,5.526574612,6.533872604,7.487551212,6.598293337,1.578921545
YER018C,3.624290466,2.401155949,1.986379147,1.651293635,1.884399533,1.347494483,1.70097506,1.512016773,1.486682892,4.056054115,5.448630333,3.144162416,4.022962093,2.438636541,2.138826132,2.128995419,1.575250864,1.323469281,1.313447833,1.318574548,3.468571424,3.547888756,3.960300446,3.191658497,4.376068592,2.869822502,2.274887085,1.123732328,1.485537171,1.204831958,1.723380923,1.733003616,3.409890175,2.554133892,2.966632843,2.747925043,2.476165632,1.067283309
YER019W,3.160045385,2.052023172,1.625425577,1.604049563,1.877665639,1.501089334,1.644636989,1.501567364,1.523002505,3.089686394,3.270548105,2.370558262,3.091848373,1.89772737,1.939051867,1.858447552,1.328873992,1.302040815,1.322548032,1.342332602,3.054857016,2.947476864,3.363734007,2.808341503,3.163614273,2.09940815,1.75339365,1.473630905,1.298553705,1.19747901,1.634467602,1.703337431,3.440659523,2.469488144,2.282103062,2.203319311,2.116584251,0.707432972
YER019C-A,18.48467636,19.26127052,21.37343979,19.22722244,18.34006882,17.76143837,18.08017349,19.36154747,19.03874016,25.31502533,19.57648468,19.80203056,16.90930176,17.68295479,18.97742653,19.14611816,17.19174957,15.91326523,13.84226418,15.76349831,19.5702858,15.23480988,16.93454933,16.36842155,21.06837654,18.23077011,18.61538506,16.89858055,18.03305817,19.73424339,17.00219536,22.68355942,19.71318817,13.00885773,14.33265877,16.28526878,18.18785848,2.367584929
YER020W,10.60839939,10.44624233,10.20204353,9.493813515,9.95061779,10.46949863,8.192849159,8.043887138,4.313559055,11.01793766,7.329908371,5.674111843,11.58783054,10.93636417,10.18735886,12.26484108,9.137123108,7.412244797,7.200201511,4.330453396,16.26628685,10.32337761,7.860514641,7.196623802,14.49206448,9.952662468,8.918552399,7.239351273,7.096074581,7.202731609,9.016466141,3.991347075,12.87362671,7.473424911,5.164812565,7.693983078,8.932255169,2.686307482
YER021W,5.795686722,7.627745152,6.804767132,6.079864979,5.02020216,4.950980186,6.345612049,5.072100163,3.83656168,5.979821205,5.077625751,4.609137058,4.282434464,5.380681992,6.582392693,6.507990837,4.748048782,6.277551174,5.773508549,4.642548561,3.771428585,4.968073845,4.443132877,5.284011841,4.24420023,8.931361198,6.964932442,8.11460495,6.995867729,5.516807079,4.352360249,5.186649799,5.559340954,4.869094372,3.79878664,4.895227909,5.535865055,1.198994037
YER022W,0.624290586,0.839306295,0.479001135,0.721034884,0.643097639,0.615468383,0.659805,0.717868328,0.858353555,0.732062876,0.582191765,0.828426361,0.590126336,0.554545462,0.7641083,0.70091325,0.555183947,0.741836667,0.520727992,0.541036725,0.639999986,0.782698214,0.734978557,0.810327709,0.522588551,0.853254437,0.762443483,1,0.932851255,0.619747937,0.519209683,0.813349783,0.710988998,0.812007844,0.607684493,0.785269618,0.699355168,0.125611712
YEL021W,2.469920635,2.129479647,2.290578842,1.799775124,1.755331159,1.747276664,1.570964217,1.932079434,5.27602911,2.034753561,1.910958886,2.046700478,1.991963387,1.970454574,2.094808102,1.864155293,1.875139356,1.466326475,1.607684493,3.323973894,2.382857084,1.799176097,1.953862667,2.242303848,3.018315077,2.514792919,2.187782764,1.431034565,1.314049482,1.314075708,1.641053796,4.919653416,1.991208792,1.870078683,1.821031332,1.917012334,2.152128942,0.822926357
